VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=2400
DATAPACKING=POINT
9.394596 1.076553 7.091724 
9.601767 1.051436 7.091724 
9.808960 1.023302 7.091724 
10.016177 0.992536 7.091724 
10.223418 0.959377 7.091724 
10.430685 0.923951 7.091724 
10.637978 0.886303 7.091724 
10.845298 0.846433 7.091724 
11.052646 0.804309 7.091724 
11.260024 0.759888 7.091724 
11.467431 0.713116 7.091724 
3.392231 0.652814 7.091724 
3.599418 0.607184 7.091724 
3.806610 0.564145 7.091724 
4.013806 0.523539 7.091724 
4.221004 0.485210 7.091724 
4.428205 0.449016 7.091724 
4.635406 0.414839 7.091724 
4.842607 0.382620 7.091724 
5.049808 0.352398 7.091724 
5.257006 0.324391 7.091724 
5.464202 0.299067 7.091724 
5.671394 0.276980 7.091724 
5.878582 0.258228 7.091724 
6.085763 0.242694 7.091724 
6.292939 0.230118 7.091724 
6.500106 0.220085 7.091724 
6.707265 0.212060 7.091724 
6.914415 0.205464 7.091724 
7.121555 0.200143 7.091724 
7.328683 0.196425 7.091724 
7.535799 0.194688 7.091724 
7.742902 0.195329 7.091724 
7.949991 0.198758 7.091724 
8.157064 0.205390 7.091724 
8.364122 0.215504 7.091724 
8.571163 0.229139 7.091724 
8.778186 0.246250 7.091724 
8.985190 0.266728 7.091724 
9.192175 0.290414 7.091724 
9.399138 0.317119 7.091724 
9.606081 0.346619 7.091724 
9.813000 0.378618 7.091724 
10.019896 0.412874 7.091724 
10.226768 0.449267 7.091724 
10.433614 0.487764 7.091724 
10.640434 0.528382 7.091724 
10.847227 0.571165 7.091724 
11.053991 0.616171 7.091724 
11.260726 0.663466 7.091724 
11.467431 0.713116 7.091724 
3.875551 0.754443 8.104828 
4.074725 0.805143 8.104828 
4.273899 0.852758 8.104828 
4.473075 0.897430 8.104828 
4.672254 0.939298 8.104828 
4.871437 0.978498 8.104828 
5.070624 1.015153 8.104828 
5.269816 1.049372 8.104828 
5.469014 1.081229 8.104828 
5.668220 1.110742 8.104828 
5.867433 1.137836 8.104828 
6.066656 1.162347 8.104828 
6.265888 1.184125 8.104828 
6.465131 1.203069 8.104828 
6.664385 1.219129 8.104828 
6.863652 1.232315 8.104828 
7.062933 1.242697 8.104828 
7.262227 1.250397 8.104828 
7.461537 1.255601 8.104828 
7.660863 1.258547 8.104828 
7.860205 1.259461 8.104828 
8.059566 1.258558 8.104828 
8.258945 1.256041 8.104828 
8.458344 1.252093 8.104828 
8.657763 1.246639 8.104828 
8.857203 1.239112 8.104828 
9.056666 1.228948 8.104828 
9.256152 1.215711 8.104828 
9.455662 1.199126 8.104828 
9.655197 1.179074 8.104828 
9.854758 1.155591 8.104828 
10.054346 1.129018 8.104828 
10.253961 1.099784 8.104828 
10.453604 1.068153 8.104828 
10.653277 1.034251 8.104828 
10.852981 0.998107 8.104828 
11.052715 0.959693 8.104828 
11.252482 0.918943 8.104828 
11.452281 0.875772 8.104828 
11.652114 0.830084 8.104828 
3.875551 0.754443 8.104828 
4.075176 0.711678 8.104828 
4.274800 0.671381 8.104828 
4.474422 0.633351 8.104828 
4.674041 0.597387 8.104828 
4.873657 0.563301 8.104828 
5.073268 0.530927 8.104828 
5.272874 0.500160 8.104828 
5.472474 0.471010 8.104828 
5.672066 0.443693 8.104828 
5.871651 0.418736 8.104828 
6.071226 0.396849 8.104828 
6.270792 0.378229 8.104828 
6.470347 0.362835 8.104828 
6.669891 0.350515 8.104828 
6.869422 0.340991 8.104828 
7.068940 0.333875 8.104828 
7.268443 0.328715 8.104828 
7.467932 0.325291 8.104828 
7.667404 0.323746 8.104828 
7.866860 0.324260 8.104828 
8.066297 0.327027 8.104828 
8.265716 0.332256 8.104828 
8.465115 0.340169 8.104828 
8.664494 0.350987 8.104828 
8.863852 0.364885 8.104828 
9.063187 0.381968 8.104828 
9.262499 0.402254 8.104828 
9.461787 0.425676 8.104828 
9.661050 0.452098 8.104828 
9.860288 0.481310 8.104828 
10.059498 0.512856 8.104828 
10.258681 0.546291 8.104828 
10.457836 0.581409 8.104828 
10.656961 0.618172 8.104828 
10.856055 0.656642 8.104828 
11.055119 0.696930 8.104828 
11.254151 0.739171 8.104828 
11.453149 0.783508 8.104828 
11.652114 0.830084 8.104828 
4.359465 0.858530 9.117931 
4.550963 0.907228 9.117931 
4.742467 0.952767 9.117931 
4.933979 0.995306 9.117931 
5.125500 1.035006 9.117931 
5.317030 1.072031 9.117931 
5.508570 1.106548 9.117931 
5.700121 1.138723 9.117931 
